f_n,w,d,N,pi_s,div
1,0,9,10000,1.0,0.03821258926456234
1,1,9,10000,1.0,0.037779095320130296
1,2,9,10000,1.0,0.03835127634912319
1,3,9,10000,1.0,0.03820565882045076
1,4,9,10000,1.0,0.038178372586958664
1,5,9,10000,1.0,0.0382026098838065
1,6,9,10000,1.0,0.038191907281062115
1,7,9,10000,1.0,0.038208950536643596
1,8,9,10000,1.0,0.038202631371736157
1,9,9,10000,1.0,0.03819691468413594
1,10,9,10000,1.0,0.038190638314121284
1,11,9,10000,1.0,0.042743592997318135
1,12,9,10000,1.0,0.13383031215095606
1,13,9,10000,1.0,0.3623951842978599
1,14,9,10000,1.0,0.7353404884350379
1,15,9,10000,1.0,0.7353404884350379
2,0,9,10000,1.0,0.03528282796992775
2,1,9,10000,1.0,0.035254735419259664
2,2,9,10000,1.0,0.03524983841021737
2,3,9,10000,1.0,0.0352828178904076
2,4,9,10000,1.0,0.0352791060677058
2,5,9,10000,1.0,0.03527881536217153
2,6,9,10000,1.0,0.03527913971352758
2,7,9,10000,1.0,0.03527913723489014
2,8,9,10000,1.0,0.03528075031336241
2,9,9,10000,1.0,0.03527941789612281
2,10,9,10000,1.0,0.035279249701698025
2,11,9,10000,1.0,0.04378098932974331
2,12,9,10000,1.0,0.13538025774232273
2,13,9,10000,1.0,0.3473437821780172
2,14,9,10000,1.0,0.7260659542066425
2,15,9,10000,1.0,0.7260659542066425
3,0,9,10000,1.0,0.03455084005437762
3,1,9,10000,1.0,0.03421912222102872
3,2,9,10000,1.0,0.03449729435501252
3,3,9,10000,1.0,0.03456488963556398
3,4,9,10000,1.0,0.03456766953594003
3,5,9,10000,1.0,0.034567622923887105
3,6,9,10000,1.0,0.034567268356080504
3,7,9,10000,1.0,0.03456751792819282
3,8,9,10000,1.0,0.03456754451359578
3,9,9,10000,1.0,0.03456737339750296
3,10,9,10000,1.0,0.0345677260379477
3,11,9,10000,1.0,0.03894841822512585
3,12,9,10000,1.0,0.12788300935354327
3,13,9,10000,1.0,0.34601285703806806
3,14,9,10000,1.0,0.7258915719124714
3,15,9,10000,1.0,0.7258915719124714
4,0,9,10000,1.0,0.035408688480721394
4,1,9,10000,1.0,0.035770700526647235
4,2,9,10000,1.0,0.03542047987636874
4,3,9,10000,1.0,0.035414607639192096
4,4,9,10000,1.0,0.0354027307341598
4,5,9,10000,1.0,0.03539539355444761
4,6,9,10000,1.0,0.035395846647035926
4,7,9,10000,1.0,0.03539522825642732
4,8,9,10000,1.0,0.03540212169504279
4,9,9,10000,1.0,0.03539524129700799
4,10,9,10000,1.0,0.03539511289766906
4,11,9,10000,1.0,0.03636869281617702
4,12,9,10000,1.0,0.12589215022346237
4,13,9,10000,1.0,0.33276235434726065
4,14,9,10000,1.0,0.7188026983409933
4,15,9,10000,1.0,0.7188026983409933
5,0,9,10000,1.0,0.052147114910573215
5,1,9,10000,1.0,0.05254682106342291
5,2,9,10000,1.0,0.052185647770034316
5,3,9,10000,1.0,0.052147355832880514
5,4,9,10000,1.0,0.0521456287574847
5,5,9,10000,1.0,0.0521452517185511
5,6,9,10000,1.0,0.052145753139528156
5,7,9,10000,1.0,0.052145757772391235
5,8,9,10000,1.0,0.052145672339344314
5,9,9,10000,1.0,0.05214579066482408
5,10,9,10000,1.0,0.05214568514825181
5,11,9,10000,1.0,0.05938880068813563
5,12,9,10000,1.0,0.15648730341931213
5,13,9,10000,1.0,0.3685687400672331
5,14,9,10000,1.0,0.7310818527825639
5,15,9,10000,1.0,0.7310818527825639
6,0,9,10000,1.0,0.034408184538251056
6,1,9,10000,1.0,0.034317551954418546
6,2,9,10000,1.0,0.034329824997258056
