f_n,s_n,d,N,pi_s,div,s,c
16,10,9,10000,1.2,0.0702716529157536,0.01,16
17,1,9,10000,1.2,0.04019052017074738,0.001,246
17,2,9,10000,1.2,0.03899101343769204,0.002,211
17,3,9,10000,1.2,0.03591446290451905,0.003,124
17,4,9,10000,1.2,0.03373376232198438,0.004,117
17,5,9,10000,1.2,0.031103275600642924,0.005,87
17,6,9,10000,1.2,0.03393693944767878,0.006,44
17,7,9,10000,1.2,0.03505832655237509,0.007,36
17,8,9,10000,1.2,0.03505832655237509,0.008,36
17,9,9,10000,1.2,0.03505832655237509,0.009,36
17,10,9,10000,1.2,0.03505832655237509,0.01,36
18,1,9,10000,1.2,0.04391420659890459,0.001,243
18,2,9,10000,1.2,0.041709704342126494,0.002,186
18,3,9,10000,1.2,0.039062695723839254,0.003,120
18,4,9,10000,1.2,0.03799095867221397,0.004,99
18,5,9,10000,1.2,0.03746968616690207,0.005,69
18,6,9,10000,1.2,0.03781346889508893,0.006,49
18,7,9,10000,1.2,0.03858767224134152,0.007,45
18,8,9,10000,1.2,0.040251570193296705,0.008,40
18,9,9,10000,1.2,0.0409032832104561,0.009,36
18,10,9,10000,1.2,0.0409032832104561,0.01,36
19,1,9,10000,1.2,0.045231659894256114,0.001,245
19,2,9,10000,1.2,0.04040116907957878,0.002,153
19,3,9,10000,1.2,0.038339740057751086,0.003,118
19,4,9,10000,1.2,0.03626161283437519,0.004,93
19,5,9,10000,1.2,0.037154703733052116,0.005,51
19,6,9,10000,1.2,0.03771843257106195,0.006,37
19,7,9,10000,1.2,0.03777224765493971,0.007,36
19,8,9,10000,1.2,0.03777224765493971,0.008,36
19,9,9,10000,1.2,0.03777224765493971,0.009,36
19,10,9,10000,1.2,0.03777224765493971,0.01,36
20,1,9,10000,1.2,0.04304164611581805,0.001,245
20,2,9,10000,1.2,0.03860771295466862,0.002,180
20,3,9,10000,1.2,0.038870826553519415,0.003,128
20,4,9,10000,1.2,0.038040265909313406,0.004,88
20,5,9,10000,1.2,0.04084291189505734,0.005,68
20,6,9,10000,1.2,0.041688503747082016,0.006,60
20,7,9,10000,1.2,0.04385111906587911,0.007,48
20,8,9,10000,1.2,0.04842076874559139,0.008,39
20,9,9,10000,1.2,0.05527456314908143,0.009,33
20,10,9,10000,1.2,0.05800483983312852,0.01,30
21,1,9,10000,1.4,0.04535185294948069,0.001,246
21,2,9,10000,1.4,0.04535185294948069,0.002,246
21,3,9,10000,1.4,0.044035581932744906,0.003,242
21,4,9,10000,1.4,0.040075849818980186,0.004,182
21,5,9,10000,1.4,0.03712438432500782,0.005,125
21,6,9,10000,1.4,0.03728037961125068,0.006,120
21,7,9,10000,1.4,0.037076399715306,0.007,119
21,8,9,10000,1.4,0.03467011142606889,0.008,96
21,9,9,10000,1.4,0.034401005696045955,0.009,61
21,10,9,10000,1.4,0.03848819626021642,0.01,40
22,1,9,10000,1.4,0.04619110609686581,0.001,246
22,2,9,10000,1.4,0.04619110609686581,0.002,246
22,3,9,10000,1.4,0.04619110609686581,0.003,246
22,4,9,10000,1.4,0.04619110609686581,0.004,246
22,5,9,10000,1.4,0.043019752807120705,0.005,188
22,6,9,10000,1.4,0.04070684630023976,0.006,122
22,7,9,10000,1.4,0.04081563578007949,0.007,120
22,8,9,10000,1.4,0.04081563578007949,0.008,120
22,9,9,10000,1.4,0.039534831173787977,0.009,107
22,10,9,10000,1.4,0.04021132391541114,0.01,64
23,1,9,10000,1.4,0.04554614285060647,0.001,246
23,2,9,10000,1.4,0.04554614285060647,0.002,246
23,3,9,10000,1.4,0.04554614285060647,0.003,246
23,4,9,10000,1.4,0.045273765441677265,0.004,244
23,5,9,10000,1.4,0.0410804366540522,0.005,167
23,6,9,10000,1.4,0.040049251811366794,0.006,122
23,7,9,10000,1.4,0.039786376685780674,0.007,120
23,8,9,10000,1.4,0.03815820326354206,0.008,118
23,9,9,10000,1.4,0.03340672541930474,0.009,90
23,10,9,10000,1.4,0.035185073552730144,0.01,54
24,1,9,10000,1.4,0.046540996854565045,0.001,246
24,2,9,10000,1.4,0.046540996854565045,0.002,246
24,3,9,10000,1.4,0.046540996854565045,0.003,246
24,4,9,10000,1.4,0.0458152218837005,0.004,209
24,5,9,10000,1.4,0.04359759259193331,0.005,170
24,6,9,10000,1.4,0.04437464086861907,0.006,134
24,7,9,10000,1.4,0.04386230053609657,0.007,109
24,8,9,10000,1.4,0.04386185611645469,0.008,91
24,9,9,10000,1.4,0.04507722006531012,0.009,77
24,10,9,10000,1.4,0.04935623354374407,0.01,68
25,1,9,10000,1.4,0.04445624723470969,0.001,246
25,2,9,10000,1.4,0.04445624723470969,0.002,246
25,3,9,10000,1.4,0.04445624723470969,0.003,246
25,4,9,10000,1.4,0.04036564497230768,0.004,188
25,5,9,10000,1.4,0.03884003758390159,0.005,121
25,6,9,10000,1.4,0.038801355376243574,0.006,120
25,7,9,10000,1.4,0.037138863071799075,0.007,118
25,8,9,10000,1.4,0.03445402633739971,0.008,94
25,9,9,10000,1.4,0.03597396706984893,0.009,53
25,10,9,10000,1.4,0.04165353071772209,0.01,36
26,1,9,10000,1.4,0.046387768137389596,0.001,246
26,2,9,10000,1.4,0.046387768137389596,0.002,246
26,3,9,10000,1.4,0.04523515136175547,0.003,231
26,4,9,10000,1.4,0.04316740974408796,0.004,183
26,5,9,10000,1.4,0.041602194334515494,0.005,149
26,6,9,10000,1.4,0.04027622599601829,0.006,116
26,7,9,10000,1.4,0.03865477586015814,0.007,87
26,8,9,10000,1.4,0.03823414479063966,0.008,74
26,9,9,10000,1.4,0.037721134674300535,0.009,66
26,10,9,10000,1.4,0.03937176637639998,0.01,59
27,1,9,10000,1.4,0.04180754417691397,0.001,246
27,2,9,10000,1.4,0.04175089646066784,0.002,245
27,3,9,10000,1.4,0.040772172415913174,0.003,215
27,4,9,10000,1.4,0.03980744414657387,0.004,175
27,5,9,10000,1.4,0.038838638165460036,0.005,139
27,6,9,10000,1.4,0.0377983932824333,0.006,110
27,7,9,10000,1.4,0.0375266882689086,0.007,91
27,8,9,10000,1.4,0.038926447329663154,0.008,77
27,9,9,10000,1.4,0.038607367233740905,0.009,72
27,10,9,10000,1.4,0.04169149856113758,0.01,62
28,1,9,10000,1.4,0.04873369943695781,0.001,246
28,2,9,10000,1.4,0.04873369943695781,0.002,246
28,3,9,10000,1.4,0.04873369943695781,0.003,246
28,4,9,10000,1.4,0.04335660179868648,0.004,186
28,5,9,10000,1.4,0.04182479695232581,0.005,122
28,6,9,10000,1.4,0.041912432345463234,0.006,120
28,7,9,10000,1.4,0.04067007938131526,0.007,118
28,8,9,10000,1.4,0.03699514059264642,0.008,98
28,9,9,10000,1.4,0.034900556247358785,0.009,54
28,10,9,10000,1.4,0.03792212530134684,0.01,39
29,1,9,10000,1.4,0.043054378950719285,0.001,239
29,2,9,10000,1.4,0.043016140239634994,0.002,201
29,3,9,10000,1.4,0.04264676773284552,0.003,164
29,4,9,10000,1.4,0.04750775242838278,0.004,127
29,5,9,10000,1.4,0.04999081167325474,0.005,99
29,6,9,10000,1.4,0.050592152027015204,0.006,89
29,7,9,10000,1.4,0.05526338654044343,0.007,78
29,8,9,10000,1.4,0.06588885756068141,0.008,71
29,9,9,10000,1.4,0.0680697612502546,0.009,64
29,10,9,10000,1.4,0.07935298486454113,0.01,57
30,1,9,10000,1.4,0.046122158359375984,0.001,246
30,2,9,10000,1.4,0.046122158359375984,0.002,246
30,3,9,10000,1.4,0.046122158359375984,0.003,246
30,4,9,10000,1.4,0.046122158359375984,0.004,246
30,5,9,10000,1.4,0.04219278048261058,0.005,219
30,6,9,10000,1.4,0.041417092848273614,0.006,128
30,7,9,10000,1.4,0.04117113061748517,0.007,120
30,8,9,10000,1.4,0.04117113061748517,0.008,120
30,9,9,10000,1.4,0.03944568248139071,0.009,106
30,10,9,10000,1.4,0.03889049909030648,0.01,67
31,1,9,10000,1.6,0.047615935424987314,0.001,246
31,2,9,10000,1.6,0.047615935424987314,0.002,246
31,3,9,10000,1.6,0.047615935424987314,0.003,246
31,4,9,10000,1.6,0.047615935424987314,0.004,246
31,5,9,10000,1.6,0.047615935424987314,0.005,246
31,6,9,10000,1.6,0.047115672373093755,0.006,241
31,7,9,10000,1.6,0.0441814729752625,0.007,204
31,8,9,10000,1.6,0.0432267581590303,0.008,136
31,9,9,10000,1.6,0.04337810049928388,0.009,120
31,10,9,10000,1.6,0.04337810049928388,0.01,120
32,1,9,10000,1.6,0.048050105166128766,0.001,246
32,2,9,10000,1.6,0.048050105166128766,0.002,246
32,3,9,10000,1.6,0.048050105166128766,0.003,246
32,4,9,10000,1.6,0.046785032857254105,0.004,245
32,5,9,10000,1.6,0.046383625481670646,0.005,240
32,6,9,10000,1.6,0.04337037821107323,0.006,186
32,7,9,10000,1.6,0.04212030877641189,0.007,121
32,8,9,10000,1.6,0.04202816806954726,0.008,120
32,9,9,10000,1.6,0.04202816806954726,0.009,120
32,10,9,10000,1.6,0.04202816806954726,0.01,120
33,1,9,10000,1.6,0.0479423454555966,0.001,246
33,2,9,10000,1.6,0.0479423454555966,0.002,246
33,3,9,10000,1.6,0.0479423454555966,0.003,246
33,4,9,10000,1.6,0.0479423454555966,0.004,246
33,5,9,10000,1.6,0.0479423454555966,0.005,246
33,6,9,10000,1.6,0.04797867640383588,0.006,243
33,7,9,10000,1.6,0.0461165319429447,0.007,208
33,8,9,10000,1.6,0.04315376586194182,0.008,139
33,9,9,10000,1.6,0.04270228341273752,0.009,121
33,10,9,10000,1.6,0.04267653473281712,0.01,120
34,1,9,10000,1.6,0.04531103576547233,0.001,246
34,2,9,10000,1.6,0.04531103576547233,0.002,246
34,3,9,10000,1.6,0.04531103576547233,0.003,246
34,4,9,10000,1.6,0.04531103576547233,0.004,246
34,5,9,10000,1.6,0.04531103576547233,0.005,246
34,6,9,10000,1.6,0.04529094913784744,0.006,245
34,7,9,10000,1.6,0.044876322838739505,0.007,232
34,8,9,10000,1.6,0.04369117019789789,0.008,202
34,9,9,10000,1.6,0.04261429921321386,0.009,165
34,10,9,10000,1.6,0.041870405738991735,0.01,147
35,1,9,10000,1.6,0.045981988290470295,0.001,246
35,2,9,10000,1.6,0.045981988290470295,0.002,246
35,3,9,10000,1.6,0.045981988290470295,0.003,246
35,4,9,10000,1.6,0.045981988290470295,0.004,246
35,5,9,10000,1.6,0.045981988290470295,0.005,246
35,6,9,10000,1.6,0.0456537398520443,0.006,243
35,7,9,10000,1.6,0.042173695164731975,0.007,191
35,8,9,10000,1.6,0.04092127097580478,0.008,133
35,9,9,10000,1.6,0.040665669300156526,0.009,120
35,10,9,10000,1.6,0.040665669300156526,0.01,120
36,1,9,10000,1.6,0.05497263729859479,0.001,246
36,2,9,10000,1.6,0.05497263729859479,0.002,246
36,3,9,10000,1.6,0.05497263729859479,0.003,246
36,4,9,10000,1.6,0.05497263729859479,0.004,246
36,5,9,10000,1.6,0.05454988201028776,0.005,215
36,6,9,10000,1.6,0.05487187263376588,0.006,185
36,7,9,10000,1.6,0.05295461809570082,0.007,163
36,8,9,10000,1.6,0.05250538586984817,0.008,138
36,9,9,10000,1.6,0.052629786986501406,0.009,123
36,10,9,10000,1.6,0.05479669819200661,0.01,113
37,1,9,10000,1.6,0.03835880160713825,0.001,246
37,2,9,10000,1.6,0.03835880160713825,0.002,246
37,3,9,10000,1.6,0.03772438573072128,0.003,243
37,4,9,10000,1.6,0.0370898282882952,0.004,227
37,5,9,10000,1.6,0.037107023777482616,0.005,201
37,6,9,10000,1.6,0.0358944050307256,0.006,166
37,7,9,10000,1.6,0.03563177212257686,0.007,148
37,8,9,10000,1.6,0.035552325499719754,0.008,132
37,9,9,10000,1.6,0.03759291976321259,0.009,111
37,10,9,10000,1.6,0.04078196641185024,0.01,100
38,1,9,10000,1.6,0.046299847731132555,0.001,246
38,2,9,10000,1.6,0.046299847731132555,0.002,246
38,3,9,10000,1.6,0.046299847731132555,0.003,246
38,4,9,10000,1.6,0.046299847731132555,0.004,246
38,5,9,10000,1.6,0.046299847731132555,0.005,246
38,6,9,10000,1.6,0.046299847731132555,0.006,246
38,7,9,10000,1.6,0.04558316094855882,0.007,236
38,8,9,10000,1.6,0.04173501943530242,0.008,179
38,9,9,10000,1.6,0.04059867021406123,0.009,127
38,10,9,10000,1.6,0.04060291515276967,0.01,120
39,1,9,10000,1.6,0.04716612786891001,0.001,246
39,2,9,10000,1.6,0.04716612786891001,0.002,246
39,3,9,10000,1.6,0.04716612786891001,0.003,246
39,4,9,10000,1.6,0.04716612786891001,0.004,246
39,5,9,10000,1.6,0.04716612786891001,0.005,246
39,6,9,10000,1.6,0.04716612786891001,0.006,246
39,7,9,10000,1.6,0.04565159672650007,0.007,208
39,8,9,10000,1.6,0.0451423448397877,0.008,147
39,9,9,10000,1.6,0.04510924371100071,0.009,120
39,10,9,10000,1.6,0.04510924371100071,0.01,120
40,1,9,10000,1.6,0.04551939894026364,0.001,246
40,2,9,10000,1.6,0.04551939894026364,0.002,246
40,3,9,10000,1.6,0.04551939894026364,0.003,246
40,4,9,10000,1.6,0.04551939894026364,0.004,246
40,5,9,10000,1.6,0.04551939894026364,0.005,246
40,6,9,10000,1.6,0.04551939894026364,0.006,246
40,7,9,10000,1.6,0.04404806794584525,0.007,227
40,8,9,10000,1.6,0.040518685688652314,0.008,158
40,9,9,10000,1.6,0.039866177710436095,0.009,122
40,10,9,10000,1.6,0.04002621896460066,0.01,120
41,1,9,10000,1.8,0.04875518890946584,0.001,246
41,2,9,10000,1.8,0.04875518890946584,0.002,246
41,3,9,10000,1.8,0.04875518890946584,0.003,246
41,4,9,10000,1.8,0.04875518890946584,0.004,246
41,5,9,10000,1.8,0.04875518890946584,0.005,246
41,6,9,10000,1.8,0.04875518890946584,0.006,246
41,7,9,10000,1.8,0.04875518890946584,0.007,246
41,8,9,10000,1.8,0.04875518890946584,0.008,246
41,9,9,10000,1.8,0.04875518890946584,0.009,246
41,10,9,10000,1.8,0.04787326724257441,0.01,243
42,1,9,10000,1.8,0.04595518003654759,0.001,246
42,2,9,10000,1.8,0.04595518003654759,0.002,246
42,3,9,10000,1.8,0.04595518003654759,0.003,246
42,4,9,10000,1.8,0.04595518003654759,0.004,246
42,5,9,10000,1.8,0.04595518003654759,0.005,246
42,6,9,10000,1.8,0.04595518003654759,0.006,246
42,7,9,10000,1.8,0.04595518003654759,0.007,246
42,8,9,10000,1.8,0.04595518003654759,0.008,246
42,9,9,10000,1.8,0.04595518003654759,0.009,246
42,10,9,10000,1.8,0.04595518003654759,0.01,246
43,1,9,10000,1.8,0.04825681312019984,0.001,246
43,2,9,10000,1.8,0.04825681312019984,0.002,246
43,3,9,10000,1.8,0.04825681312019984,0.003,246
43,4,9,10000,1.8,0.04825681312019984,0.004,246
43,5,9,10000,1.8,0.04825681312019984,0.005,246
43,6,9,10000,1.8,0.04825681312019984,0.006,246
43,7,9,10000,1.8,0.04825681312019984,0.007,246
43,8,9,10000,1.8,0.04826077086391229,0.008,242
43,9,9,10000,1.8,0.047437620605748354,0.009,222
43,10,9,10000,1.8,0.04621766959615498,0.01,192
44,1,9,10000,1.8,0.0475921074262655,0.001,246
44,2,9,10000,1.8,0.0475921074262655,0.002,246
44,3,9,10000,1.8,0.0475921074262655,0.003,246
44,4,9,10000,1.8,0.0475921074262655,0.004,246
44,5,9,10000,1.8,0.0475921074262655,0.005,246
44,6,9,10000,1.8,0.0475921074262655,0.006,246
44,7,9,10000,1.8,0.0475921074262655,0.007,246
44,8,9,10000,1.8,0.04743620963798628,0.008,245
44,9,9,10000,1.8,0.04743500522617255,0.009,238
44,10,9,10000,1.8,0.044757323917362375,0.01,217
45,1,9,10000,1.8,0.04635362047124866,0.001,246
45,2,9,10000,1.8,0.04635362047124866,0.002,246
45,3,9,10000,1.8,0.04635362047124866,0.003,246
45,4,9,10000,1.8,0.04635362047124866,0.004,246
45,5,9,10000,1.8,0.04635362047124866,0.005,246
45,6,9,10000,1.8,0.04635362047124866,0.006,246
45,7,9,10000,1.8,0.04635362047124866,0.007,246
45,8,9,10000,1.8,0.04635362047124866,0.008,246
45,9,9,10000,1.8,0.04635362047124866,0.009,246
45,10,9,10000,1.8,0.04635362047124866,0.01,246
46,1,9,10000,1.8,0.047142564196557546,0.001,246
46,2,9,10000,1.8,0.047142564196557546,0.002,246
46,3,9,10000,1.8,0.047142564196557546,0.003,246
46,4,9,10000,1.8,0.047142564196557546,0.004,246
46,5,9,10000,1.8,0.047142564196557546,0.005,246
46,6,9,10000,1.8,0.047142564196557546,0.006,246
46,7,9,10000,1.8,0.047142564196557546,0.007,246
46,8,9,10000,1.8,0.047142564196557546,0.008,246
46,9,9,10000,1.8,0.047142564196557546,0.009,246
46,10,9,10000,1.8,0.047142564196557546,0.01,246
47,1,9,10000,1.8,0.046377167963593584,0.001,246
47,2,9,10000,1.8,0.046377167963593584,0.002,246
47,3,9,10000,1.8,0.046377167963593584,0.003,246
47,4,9,10000,1.8,0.046377167963593584,0.004,246
47,5,9,10000,1.8,0.046377167963593584,0.005,246
47,6,9,10000,1.8,0.046377167963593584,0.006,246
47,7,9,10000,1.8,0.046377167963593584,0.007,246
47,8,9,10000,1.8,0.046377167963593584,0.008,246
47,9,9,10000,1.8,0.046377167963593584,0.009,246
47,10,9,10000,1.8,0.046377167963593584,0.01,246
48,1,9,10000,1.8,0.04671871641799298,0.001,246
48,2,9,10000,1.8,0.04671871641799298,0.002,246
48,3,9,10000,1.8,0.04671871641799298,0.003,246
48,4,9,10000,1.8,0.04671871641799298,0.004,246
48,5,9,10000,1.8,0.04671871641799298,0.005,246
48,6,9,10000,1.8,0.046428398639879305,0.006,240
48,7,9,10000,1.8,0.04538162827576038,0.007,228
48,8,9,10000,1.8,0.04505031347125851,0.008,217
48,9,9,10000,1.8,0.0442254812817351,0.009,199
48,10,9,10000,1.8,0.04341703050965091,0.01,175
49,1,9,10000,1.8,0.05156820153405651,0.001,246
49,2,9,10000,1.8,0.05156820153405651,0.002,246
49,3,9,10000,1.8,0.05156820153405651,0.003,246
49,4,9,10000,1.8,0.05156820153405651,0.004,246
49,5,9,10000,1.8,0.05156820153405651,0.005,246
49,6,9,10000,1.8,0.05156820153405651,0.006,246
49,7,9,10000,1.8,0.05148316143870955,0.007,245
49,8,9,10000,1.8,0.05067295780668335,0.008,226
49,9,9,10000,1.8,0.04968531016538769,0.009,197
49,10,9,10000,1.8,0.04867290333641901,0.01,173
50,1,9,10000,1.8,0.049444245967799706,0.001,246
50,2,9,10000,1.8,0.049444245967799706,0.002,246
50,3,9,10000,1.8,0.049444245967799706,0.003,246
50,4,9,10000,1.8,0.049444245967799706,0.004,246
50,5,9,10000,1.8,0.049444245967799706,0.005,246
50,6,9,10000,1.8,0.049444245967799706,0.006,246
50,7,9,10000,1.8,0.049031020798214954,0.007,236
50,8,9,10000,1.8,0.048228724601933,0.008,221
