f_n,s_n,d,N,pi_s,div,s,c
1,1,9,10000,1.0,0.042294967941458254,0.001,155
1,2,9,10000,1.0,0.040760854049429474,0.002,92
1,3,9,10000,1.0,0.04183536845846743,0.003,57
1,4,9,10000,1.0,0.04321721458911887,0.004,45
1,5,9,10000,1.0,0.0482527339979094,0.005,35
1,6,9,10000,1.0,0.05405751574730723,0.006,29
1,7,9,10000,1.0,0.05573196554139566,0.007,28
1,8,9,10000,1.0,0.06136342569355156,0.008,25
1,9,9,10000,1.0,0.06664704871330247,0.009,21
1,10,9,10000,1.0,0.07872706872841924,0.01,16
2,1,9,10000,1.0,0.03413708717801001,0.001,134
2,2,9,10000,1.0,0.032890002172852706,0.002,72
2,3,9,10000,1.0,0.033135054974461245,0.003,47
2,4,9,10000,1.0,0.0330900020337993,0.004,39
2,5,9,10000,1.0,0.03306250991078851,0.005,37
2,6,9,10000,1.0,0.03800426655025266,0.006,34
2,7,9,10000,1.0,0.0587234507097275,0.007,25
2,8,9,10000,1.0,0.07192926201369666,0.008,19
2,9,9,10000,1.0,0.08621393403224875,0.009,12
2,10,9,10000,1.0,0.08793417962814498,0.01,10
3,1,9,10000,1.0,0.03513224295739358,0.001,128
3,2,9,10000,1.0,0.03338670350142397,0.002,74
3,3,9,10000,1.0,0.03489248649027107,0.003,45
3,4,9,10000,1.0,0.035981995796365844,0.004,38
3,5,9,10000,1.0,0.035981995796365844,0.005,38
3,6,9,10000,1.0,0.04358834148793018,0.006,33
3,7,9,10000,1.0,0.04537919974710708,0.007,32
3,8,9,10000,1.0,0.06121438427161389,0.008,22
3,9,9,10000,1.0,0.0761631195106784,0.009,13
3,10,9,10000,1.0,0.08591018086222807,0.01,8
4,1,9,10000,1.0,0.03918438132436272,0.001,152
4,2,9,10000,1.0,0.034977160707027825,0.002,100
4,3,9,10000,1.0,0.03553595355246313,0.003,42
4,4,9,10000,1.0,0.03570035390746278,0.004,36
4,5,9,10000,1.0,0.03570035390746278,0.005,36
4,6,9,10000,1.0,0.03570035390746278,0.006,36
4,7,9,10000,1.0,0.03570035390746278,0.007,36
4,8,9,10000,1.0,0.04081588464167342,0.008,33
4,9,9,10000,1.0,0.0597600260002197,0.009,25
4,10,9,10000,1.0,0.09688391209864296,0.01,10
5,1,9,10000,1.0,0.030210009707488647,0.001,130
5,2,9,10000,1.0,0.025683136440842996,0.002,92
5,3,9,10000,1.0,0.030287215803932933,0.003,36
5,4,9,10000,1.0,0.030287215803932933,0.004,36
5,5,9,10000,1.0,0.030287215803932933,0.005,36
5,6,9,10000,1.0,0.030287215803932933,0.006,36
5,7,9,10000,1.0,0.030287215803932933,0.007,36
5,8,9,10000,1.0,0.0326374785911801,0.008,35
5,9,9,10000,1.0,0.0624195345553474,0.009,23
5,10,9,10000,1.0,0.10532375700061918,0.01,5
6,1,9,10000,1.0,0.03705231432519073,0.001,120
6,2,9,10000,1.0,0.034986835365320164,0.002,63
6,3,9,10000,1.0,0.04546352710531184,0.003,42
6,4,9,10000,1.0,0.047759290607919405,0.004,31
6,5,9,10000,1.0,0.047759290607919405,0.005,31
6,6,9,10000,1.0,0.04783181582592817,0.006,26
6,7,9,10000,1.0,0.06123385280139732,0.007,17
6,8,9,10000,1.0,0.07205337626483968,0.008,14
6,9,9,10000,1.0,0.08557462416458622,0.009,10
6,10,9,10000,1.0,0.08557462416458622,0.01,10
7,1,9,10000,1.0,0.04011142572684263,0.001,144
7,2,9,10000,1.0,0.036967443182189495,0.002,78
7,3,9,10000,1.0,0.03795752693222284,0.003,40
7,4,9,10000,1.0,0.037505083606438464,0.004,36
7,5,9,10000,1.0,0.037505083606438464,0.005,36
7,6,9,10000,1.0,0.037505083606438464,0.006,36
7,7,9,10000,1.0,0.038751119698984184,0.007,35
7,8,9,10000,1.0,0.054259417105832534,0.008,28
7,9,9,10000,1.0,0.08914861465445682,0.009,13
7,10,9,10000,1.0,0.09977584261943787,0.01,8
8,1,9,10000,1.0,0.03620297009439512,0.001,153
8,2,9,10000,1.0,0.03429269919929026,0.002,83
8,3,9,10000,1.0,0.03322261511108899,0.003,59
8,4,9,10000,1.0,0.03298762949291966,0.004,48
8,5,9,10000,1.0,0.04675479147218184,0.005,33
8,6,9,10000,1.0,0.05480878044503622,0.006,27
8,7,9,10000,1.0,0.059140958739560726,0.007,24
8,8,9,10000,1.0,0.0626145165110218,0.008,21
8,9,9,10000,1.0,0.06618711632372919,0.009,18
8,10,9,10000,1.0,0.08175937368280785,0.01,12
9,1,9,10000,1.0,0.03735402355128368,0.001,132
9,2,9,10000,1.0,0.03427727274752784,0.002,77
9,3,9,10000,1.0,0.03675379692498644,0.003,39
9,4,9,10000,1.0,0.03758928445681864,0.004,36
9,5,9,10000,1.0,0.03758928445681864,0.005,36
9,6,9,10000,1.0,0.04252878952782301,0.006,33
9,7,9,10000,1.0,0.047590439950510016,0.007,30
9,8,9,10000,1.0,0.060826873420079995,0.008,23
9,9,9,10000,1.0,0.08002601295867792,0.009,15
9,10,9,10000,1.0,0.09426516098226925,0.01,9
10,1,9,10000,1.0,0.05003974354890037,0.001,135
10,2,9,10000,1.0,0.05760111688220711,0.002,79
10,3,9,10000,1.0,0.06209504225182398,0.003,61
10,4,9,10000,1.0,0.07394596407334382,0.004,44
10,5,9,10000,1.0,0.08225862233106615,0.005,34
10,6,9,10000,1.0,0.08524709741419621,0.006,28
10,7,9,10000,1.0,0.08859693575971944,0.007,23
10,8,9,10000,1.0,0.09890062122185692,0.008,18
10,9,9,10000,1.0,0.10173317043399907,0.009,16
10,10,9,10000,1.0,0.10173317043399907,0.01,16
11,1,9,10000,1.2,0.04560182775379557,0.001,246
11,2,9,10000,1.2,0.04425812559718318,0.002,219
11,3,9,10000,1.2,0.04048735175374057,0.003,126
11,4,9,10000,1.2,0.039267922658743244,0.004,117
11,5,9,10000,1.2,0.035682619377524455,0.005,76
11,6,9,10000,1.2,0.036144613820095824,0.006,41
11,7,9,10000,1.2,0.036080513755841405,0.007,36
11,8,9,10000,1.2,0.036080513755841405,0.008,36
11,9,9,10000,1.2,0.036080513755841405,0.009,36
11,10,9,10000,1.2,0.036080513755841405,0.01,36
12,1,9,10000,1.2,0.041344730596911336,0.001,246
12,2,9,10000,1.2,0.041344730596911336,0.002,246
12,3,9,10000,1.2,0.039867325949935396,0.003,184
12,4,9,10000,1.2,0.039066133934127625,0.004,121
12,5,9,10000,1.2,0.03778540463385382,0.005,116
12,6,9,10000,1.2,0.03671720434490503,0.006,89
12,7,9,10000,1.2,0.0386635140726496,0.007,43
12,8,9,10000,1.2,0.03910468812080759,0.008,36
12,9,9,10000,1.2,0.03910468812080759,0.009,36
12,10,9,10000,1.2,0.03910468812080759,0.01,36
13,1,9,10000,1.2,0.046849272869353545,0.001,245
13,2,9,10000,1.2,0.04166528138339034,0.002,184
13,3,9,10000,1.2,0.04065236314543179,0.003,123
13,4,9,10000,1.2,0.039604428239227746,0.004,115
13,5,9,10000,1.2,0.037417395468965046,0.005,76
13,6,9,10000,1.2,0.03894632825804689,0.006,43
13,7,9,10000,1.2,0.03928689557619299,0.007,36
13,8,9,10000,1.2,0.03928689557619299,0.008,36
13,9,9,10000,1.2,0.03928689557619299,0.009,36
13,10,9,10000,1.2,0.03928689557619299,0.01,36
14,1,9,10000,1.2,0.04905436082567304,0.001,245
14,2,9,10000,1.2,0.045295950538471644,0.002,179
14,3,9,10000,1.2,0.041655322589818834,0.003,119
14,4,9,10000,1.2,0.04096997965534142,0.004,108
14,5,9,10000,1.2,0.04018821069482091,0.005,62
14,6,9,10000,1.2,0.041836315448379825,0.006,39
14,7,9,10000,1.2,0.0414875509059574,0.007,36
14,8,9,10000,1.2,0.0414875509059574,0.008,36
14,9,9,10000,1.2,0.0414875509059574,0.009,36
14,10,9,10000,1.2,0.0414875509059574,0.01,36
15,1,9,10000,1.2,0.038697432943712244,0.001,246
15,2,9,10000,1.2,0.03732405509239826,0.002,212
15,3,9,10000,1.2,0.03552733465282592,0.003,156
15,4,9,10000,1.2,0.0358093239951318,0.004,104
15,5,9,10000,1.2,0.036606758164748725,0.005,79
15,6,9,10000,1.2,0.037806851526295024,0.006,69
15,7,9,10000,1.2,0.04117076187954753,0.007,56
15,8,9,10000,1.2,0.04351437315795778,0.008,51
15,9,9,10000,1.2,0.062240908849216,0.009,38
15,10,9,10000,1.2,0.0662106078116286,0.01,30
16,1,9,10000,1.2,0.03247155826824408,0.001,228
16,2,9,10000,1.2,0.03100806942198636,0.002,155
16,3,9,10000,1.2,0.027955290883592127,0.003,88
16,4,9,10000,1.2,0.0278386263475069,0.004,78
16,5,9,10000,1.2,0.02673591520772565,0.005,72
16,6,9,10000,1.2,0.04680157625186242,0.006,52
16,7,9,10000,1.2,0.06273617583950927,0.007,39
16,8,9,10000,1.2,0.06536011303799444,0.008,31
16,9,9,10000,1.2,0.06850464184863281,0.009,21
