diseases,emp_cost,pred_cost
0,1402.656483,1402.656483
1,2359.123484,2359.123484
2,3883.318256,3883.318256
3,6624.177189,6624.177189
4,8406.114287,8406.114287
5,10630.5248,10630.5248
6,14167.93738,14167.93738
7,15953.1833,15953.1833
8,16445.19762,16445.19762
9,,18945.19762
10,,21445.19762
11,,23945.19762
12,,26445.19762
13,,28945.19762
14,,31445.19762
15,,33945.19762
16,,36445.19762
17,,38945.19762
18,,41445.19762
19,,43945.19762
20,,46445.19762
